시도,시군구,총계,청소년수련관,청소년문화의집,청소년수련원,청소년야영장,유스호스텔,청소년특화시설
부산,중구,1,0,1,0,0,0,0
부산,해운대구,3,1,1,0,0,1,0
서울,강남구,3,3,0,0,0,0,0
서울,강동구,3,1,2,0,0,0,0
서울,강북구,2,1,0,1,0,0,0
서울,강서구,3,2,0,0,0,1,0
서울,관악구,2,2,0,0,0,0,0
서울,광진구,1,1,0,0,0,0,0
서울,구로구,3,1,2,0,0,0,0
서울,금천구,3,1,2,0,0,0,0
서울,노원구,4,1,2,0,0,0,1
서울,도봉구,6,1,3,2,0,0,0
서울,동대문구,1,1,0,0,0,0,0
서울,동작구,4,1,3,0,0,0,0
서울,마포구,4,1,3,0,0,0,0
서울,서대문구,3,1,2,0,0,0,0
서울,서초구,2,2,0,0,0,0,0
서울,성동구,2,1,1,0,0,0,0
서울,성북구,3,1,2,0,0,0,0
서울,송파구,5,2,1,0,0,1,1
서울,양천구,4,1,1,0,0,0,2
서울,영등포구,5,1,1,0,0,1,2
서울,용산구,4,1,2,0,0,0,1
서울,은평구,3,1,2,0,0,0,0
서울,중구,4,2,0,0,0,1,1
서울,중랑구,2,2,0,0,0,0,0
세종,세종시,5,2,3,0,0,0,0
울산,남구,3,1,2,0,0,0,0
울산,동구,2,0,2,0,0,0,0
울산,북구,2,0,2,0,0,0,0
울산,울주군,6,3,0,1,2,0,0
울산,중구,2,0,2,0,0,0,0
인천,강화군,5,1,1,2,0,1,0
인천,계양구,2,1,1,0,0,0,0
인천,남동구,2,1,1,0,0,0,0
인천,동구,1,1,0,0,0,0,0
인천,미추홀구,1,1,0,0,0,0,0
인천,부평구,2,1,1,0,0,0,0
인천,서구,4,1,3,0,0,0,0
인천,연수구,2,1,1,0,0,0,0
인천,옹진군,3,0,1,0,0,2,0
인천,중구,1,1,0,0,0,0,0
전남,강진군,2,1,1,0,0,0,0
전남,고흥군,3,0,1,1,1,0,0
전남,곡성군,4,0,2,0,1,1,0
전남,광양시,3,1,2,0,0,0,0
전남,구례군,2,0,1,1,0,0,0
전남,나주시,2,1,0,0,0,1,0
전남,담양군,4,0,1,2,1,0,0
전남,목포시,3,0,2,1,0,0,0
전남,무안군,2,1,1,0,0,0,0
전남,보성군,2,0,1,1,0,0,0
전남,순천시,6,1,1,1,1,2,0
전남,신안군,2,0,0,1,0,1,0
전남,여수시,5,1,2,1,0,1,0
전남,영광군,1,0,1,0,0,0,0
전남,영암군,2,1,1,0,0,0,0
전남,완도군,5,0,2,2,1,0,0
전남,장성군,2,1,0,0,1,0,0
전남,장흥군,5,1,3,1,0,0,0
전남,진도군,2,0,0,1,0,1,0
전남,함평군,1,0,1,0,0,0,0
전남,해남군,3,0,1,0,0,2,0
전남,화순군,2,1,1,0,0,0,0
전북,고창군,5,1,2,0,0,2,0
전북,군산시,2,1,1,0,0,0,0
전북,김제시,7,1,2,2,0,2,0
전북,남원시,3,1,1,1,0,0,0
전북,무주군,7,1,1,4,1,0,0
전북,부안군,4,0,1,2,0,0,1
전북,순창군,3,1,2,0,0,0,0
전북,완주군,6,1,2,1,1,1,0
전북,익산시,3,1,1,0,0,1,0
전북,임실군,2,0,1,1,0,0,0
전북,장수군,3,0,1,0,0,2,0
전북,전주시,6,1,5,0,0,0,0
전북,정읍시,3,1,2,0,0,0,0
전북,진안군,3,1,0,1,1,0,0
제주,서귀포시,22,2,12,1,1,6,0
제주,제주시,26,1,13,3,1,8,0
충남,계룡시,1,1,0,0,0,0,0
충남,공주시,3,0,2,0,0,1,0
충남,금산군,3,1,1,1,0,0,0
충남,논산시,2,1,0,1,0,0,0
